max, average, standard deviation
0.0, 0.0, 0.0
0.847913093196, 0.841280731847, 0.00531578698647
0.895082904517, 0.88627787307, 0.00806033019552
0.905946255003, 0.900114351058, 0.00669857135259
0.907375643225, 0.90457404231, 0.00280917518503
0.908233276158, 0.902572898799, 0.00708469174205
0.906803887936, 0.899371069182, 0.00676268327047
0.906803887936, 0.900743281875, 0.0069047588974
0.943396226415, 0.910920526015, 0.0165103682978
0.68, 0.68, 0.0
0.97, 0.957, 0.0092736184955
0.975, 0.962, 0.0128840987267
0.98, 0.963, 0.0143527000944
0.965, 0.955, 0.00547722557505
0.965, 0.955, 0.00632455532034
0.965, 0.954, 0.00583095189485
0.96, 0.954, 0.00583095189485
0.955, 0.952, 0.004
